0;14605;16430
1;19568;9535
2;16430
3;16430
4;19568
5;8;9;13714;20035;13617;20032;20034;5443;20036;20038;3429;11598;11599;11600;11603;11604;11605;17503;17504;17506;17507;17508;17509;17510;3433;3434;13715
6;13378;7107;2820;13414;12744;13417;12627;13419;13420;14926;14927;19568;18696;9059;12628;21077;13369;22062;14399
7;20995;2822;3625;15850;19568;947;20153;20158
8;5;19886
9;5
10;85
11;85
12;21473
13;21473
14;21473
15;17338;15157
16;21473
17;21473
18;21473
19;21473
20;15157
21;21473
22;11444
23;11444;15807
24;11444;15807
25;11444
26;4088;11444;4626;16796;7199
27;11444
28;11444
29;11444
30;11444
31;11444
32;10449
33;10449
34;10449
35;10449
36;10449
37;10449
38;39
39;19841;19842;19843;19845;19846;3080;7692;13443;1172;16408;12441;14621;5918;11938;38;7339;7340;15154;14006;7351;7354;19268;3084;20043;16340;20054;5733;5734;5735;5736;7914;5740;7922;12150
40;19886
41;19886
42;19886
43;19886
44;13243;19886
45;19886
46;19886
47;19886
48;19036
49;19036
50;19036
51;19036
52;19036
53;19036
54;19036
55;19036
56;19036
57;19036
58;14338
59;14338
60;10697
61;10697
62;14338
63;10697
64;14338
65;10697
66;14338
67;10697
68;14338
69;14338
70;14374
71;14374
72;14374
73;14374
74;14374
75;14374
76;14374
77;14374
78;14374
79;11528;14374
80;15157
81;21473
82;13869;15157
83;13869;15157
84;15157
85;11398;10;11;2575;2576;21905;2578;2579;2580;2581;2582;2583;2584;12442;13980;13981;13982;13983;13984;13985;13986;13987;5160;19119;10868;16885;5192;17315;17498;4318;2577;21608;13992;10867;6900;10869;10870;10871;10872;10873;10874;10875;10876
86;21473
87;15157
88;1110;6151;15120;15121;15122;15123;15124;15125;15126;15127;15128;15129;8222;12713;7247;14514;11442;19764;17728;11337;1103;1104;18257;1106;1107;1108;1109;8216;20559;96;14288;1105;14077;11509;14073;22268;6141;6142;14293
89;8216;22192
90;8216;22192
91;8216
92;8216;22192
93;8216;22192
94;8216;22268
95;8216
96;88;8216
97;8216;22192
98;7423
99;7423
100;21349;7423
101;7423
102;7423
103;7423
